Ship,Alpha,Initial_Bot_Position,Rat_Position,MyBot_Total,MyBot_Attempt_Count,MyBot_Blocked_Sensing,MyBot_Rat_Chase_Count,MyBot_Ping_Count,Rat_Not_Caught
0,0.02,"(8, 18)","(14, 22)",400,0,4,192,200,False
0,0.04,"(8, 18)","(14, 22)",182,0,4,84,90,False
0,0.06,"(8, 18)","(14, 22)",244,0,4,116,120,False
0,0.08,"(8, 18)","(14, 22)",321,0,4,153,160,False
0,0.1,"(8, 18)","(14, 22)",41,0,4,13,20,False
0,0.12,"(8, 18)","(14, 22)",41,0,4,13,20,False
0,0.14,"(8, 18)","(14, 22)",41,0,4,13,20,False
0,0.16,"(8, 18)","(14, 22)",41,0,4,13,20,False
0,0.18,"(8, 18)","(14, 22)",41,0,4,13,20,False
0,0.2,"(8, 18)","(14, 22)",41,0,4,13,20,False
0,0.3,"(8, 18)","(14, 22)",41,0,4,13,20,False
0,0.4,"(8, 18)","(14, 22)",41,0,4,13,20,False
0,0.5,"(8, 18)","(14, 22)",347,0,4,169,170,False
1,0.02,"(9, 3)","(14, 15)",1877,2,6,930,935,False
1,0.04,"(9, 3)","(14, 15)",773,2,6,380,381,False
1,0.06,"(9, 3)","(14, 15)",233,2,6,110,111,False
1,0.08,"(9, 3)","(14, 15)",235,2,6,110,113,False
1,0.1,"(9, 3)","(14, 15)",461,2,6,220,229,False
1,0.12,"(9, 3)","(14, 15)",361,2,6,170,179,False
1,0.14,"(9, 3)","(14, 15)",281,2,6,130,139,False
1,0.16,"(9, 3)","(14, 15)",281,2,6,130,139,False
1,0.18,"(9, 3)","(14, 15)",235,2,6,110,113,False
1,0.2,"(9, 3)","(14, 15)",461,2,6,220,229,False
1,0.3,"(9, 3)","(14, 15)",873,2,6,430,431,False
1,0.4,"(9, 3)","(14, 15)",453,2,6,220,221,False
1,0.5,"(9, 3)","(14, 15)",281,2,6,130,139,False
2,0.02,"(9, 1)","(14, 22)",114,3,9,46,50,False
2,0.04,"(9, 1)","(14, 22)",502,3,9,240,244,False
2,0.06,"(9, 1)","(14, 22)",168,3,9,70,80,False
2,0.08,"(9, 1)","(14, 22)",168,3,9,70,80,False
2,0.1,"(9, 1)","(14, 22)",168,3,9,70,80,False
2,0.12,"(9, 1)","(14, 22)",168,3,9,70,80,False
2,0.14,"(9, 1)","(14, 22)",440,3,9,210,212,False
2,0.16,"(9, 1)","(14, 22)",254,3,9,116,120,False
2,0.18,"(9, 1)","(14, 22)",160,3,9,70,72,False
2,0.2,"(9, 1)","(14, 22)",160,3,9,70,72,False
2,0.3,"(9, 1)","(14, 22)",112,3,9,44,50,False
2,0.4,"(9, 1)","(14, 22)",114,3,9,46,50,False
2,0.5,"(9, 1)","(14, 22)",114,3,9,46,50,False
3,0.02,"(8, 25)","(14, 25)",881,4,19,420,423,False
3,0.04,"(8, 25)","(14, 25)",363,4,19,160,165,False
3,0.06,"(8, 25)","(14, 25)",447,4,19,200,209,False
3,0.08,"(8, 25)","(14, 25)",341,4,19,150,153,False
3,0.1,"(8, 25)","(14, 25)",259,4,19,110,111,False
3,0.12,"(8, 25)","(14, 25)",259,4,19,110,111,False
3,0.14,"(8, 25)","(14, 25)",139,4,19,50,51,False
3,0.16,"(8, 25)","(14, 25)",101,4,19,30,33,False
3,0.18,"(8, 25)","(14, 25)",139,4,19,50,51,False
3,0.2,"(8, 25)","(14, 25)",283,4,19,120,125,False
3,0.3,"(8, 25)","(14, 25)",139,4,19,50,51,False
3,0.4,"(8, 25)","(14, 25)",599,4,19,280,281,False
3,0.5,"(8, 25)","(14, 25)",259,4,19,110,111,False
4,0.02,"(8, 23)","(14, 20)",95,1,7,40,41,False
4,0.04,"(8, 23)","(14, 20)",439,1,7,210,215,False
4,0.06,"(8, 23)","(14, 20)",263,1,7,120,129,False
4,0.08,"(8, 23)","(14, 20)",359,1,7,170,175,False
4,0.1,"(8, 23)","(14, 20)",439,1,7,210,215,False
4,0.12,"(8, 23)","(14, 20)",179,1,7,80,85,False
4,0.14,"(8, 23)","(14, 20)",179,1,7,80,85,False
4,0.16,"(8, 23)","(14, 20)",179,1,7,80,85,False
4,0.18,"(8, 23)","(14, 20)",203,1,7,90,99,False
4,0.2,"(8, 23)","(14, 20)",201,1,7,90,97,False
4,0.3,"(8, 23)","(14, 20)",61,1,7,20,27,False
4,0.4,"(8, 23)","(14, 20)",137,1,7,60,63,False
4,0.5,"(8, 23)","(14, 20)",359,1,7,170,175,False
5,0.02,"(8, 25)","(14, 23)",241,2,12,107,110,False
5,0.04,"(8, 25)","(14, 23)",599,2,12,285,290,False
5,0.06,"(8, 25)","(14, 23)",488,2,12,230,234,False
5,0.08,"(8, 25)","(14, 23)",72,2,12,20,28,False
5,0.1,"(8, 25)","(14, 23)",275,2,12,121,130,False
5,0.12,"(8, 25)","(14, 23)",221,2,12,97,100,False
