Ship,Alpha,Initial_Bot_Position,Rat_Position,Baseline_Total,Baseline_Attempt_Count,Baseline_Blocked_Sensing,Baseline_Rat_Chase_Count,Baseline_Ping_Count
0,0.02,"(3, 25)","(5, 16)",1269,1,12,628,628
0,0.04,"(3, 25)","(5, 16)",397,1,12,192,192
0,0.06,"(3, 25)","(5, 16)",1513,1,12,750,750
0,0.08,"(3, 25)","(5, 16)",365,1,12,176,176
0,0.1,"(3, 25)","(5, 16)",749,1,12,368,368
0,0.12,"(3, 25)","(5, 16)",357,1,12,172,172
0,0.14,"(3, 25)","(5, 16)",909,1,12,448,448
0,0.16,"(3, 25)","(5, 16)",913,1,12,450,450
0,0.18,"(3, 25)","(5, 16)",1097,1,12,542,542
0,0.2,"(3, 25)","(5, 16)",1097,1,12,542,542
0,0.3,"(3, 25)","(5, 16)",929,1,12,458,458
0,0.4,"(3, 25)","(5, 16)",953,1,12,470,470
0,0.5,"(3, 25)","(5, 16)",929,1,12,458,458
0,0.6,"(3, 25)","(5, 16)",929,1,12,458,458
0,0.7,"(3, 25)","(5, 16)",941,1,12,464,464
0,0.8,"(3, 25)","(5, 16)",941,1,12,464,464
0,0.9,"(3, 25)","(5, 16)",1009,1,12,498,498
0,1.0,"(3, 25)","(5, 16)",1009,1,12,498,498
1,0.02,"(3, 19)","(5, 20)",2590,1,19,1285,1285
1,0.04,"(3, 19)","(5, 20)",62,1,19,21,21
1,0.06,"(3, 19)","(5, 20)",54,1,19,17,17
1,0.08,"(3, 19)","(5, 20)",5650,1,19,2815,2815
1,0.1,"(3, 19)","(5, 20)",126,1,19,53,53
1,0.12,"(3, 19)","(5, 20)",46,1,19,13,13
1,0.14,"(3, 19)","(5, 20)",46,1,19,13,13
1,0.16,"(3, 19)","(5, 20)",46,1,19,13,13
1,0.18,"(3, 19)","(5, 20)",46,1,19,13,13
1,0.2,"(3, 19)","(5, 20)",46,1,19,13,13
1,0.3,"(3, 19)","(5, 20)",46,1,19,13,13
1,0.4,"(3, 19)","(5, 20)",186,1,19,83,83
1,0.5,"(3, 19)","(5, 20)",222,1,19,101,101
1,0.6,"(3, 19)","(5, 20)",150,1,19,65,65
1,0.7,"(3, 19)","(5, 20)",94,1,19,37,37
1,0.8,"(3, 19)","(5, 20)",58,1,19,19,19
1,0.9,"(3, 19)","(5, 20)",54,1,19,17,17
1,1.0,"(3, 19)","(5, 20)",54,1,19,17,17
2,0.02,"(3, 22)","(5, 22)",198,1,5,96,96
2,0.04,"(3, 22)","(5, 22)",30,1,5,12,12
2,0.06,"(3, 22)","(5, 22)",34,1,5,14,14
2,0.08,"(3, 22)","(5, 22)",62,1,5,28,28
2,0.1,"(3, 22)","(5, 22)",62,1,5,28,28
2,0.12,"(3, 22)","(5, 22)",826,1,5,410,410
2,0.14,"(3, 22)","(5, 22)",1386,1,5,690,690
2,0.16,"(3, 22)","(5, 22)",6246,1,5,3120,3120
2,0.18,"(3, 22)","(5, 22)",6258,1,5,3126,3126
2,0.2,"(3, 22)","(5, 22)",7230,1,5,3612,3612
2,0.3,"(3, 22)","(5, 22)",1562,1,5,778,778
2,0.4,"(3, 22)","(5, 22)",6838,1,5,3416,3416
2,0.5,"(3, 22)","(5, 22)",6838,1,5,3416,3416
2,0.6,"(3, 22)","(5, 22)",6838,1,5,3416,3416
2,0.7,"(3, 22)","(5, 22)",6838,1,5,3416,3416
2,0.8,"(3, 22)","(5, 22)",6838,1,5,3416,3416
2,0.9,"(3, 22)","(5, 22)",6838,1,5,3416,3416
2,1.0,"(3, 22)","(5, 22)",50,1,5,22,22
3,0.02,"(3, 21)","(5, 21)",214,3,27,92,92
3,0.04,"(3, 21)","(5, 21)",214,3,27,92,92
3,0.06,"(3, 21)","(5, 21)",214,3,27,92,92
3,0.08,"(3, 21)","(5, 21)",230,3,27,100,100
3,0.1,"(3, 21)","(5, 21)",526,3,27,248,248
3,0.12,"(3, 21)","(5, 21)",530,3,27,250,250
3,0.14,"(3, 21)","(5, 21)",530,3,27,250,250
3,0.16,"(3, 21)","(5, 21)",742,3,27,356,356
3,0.18,"(3, 21)","(5, 21)",1082,3,27,526,526
3,0.2,"(3, 21)","(5, 21)",1082,3,27,526,526
3,0.3,"(3, 21)","(5, 21)",5478,3,27,2724,2724
3,0.4,"(3, 21)","(5, 21)",5474,3,27,2722,2722
3,0.5,"(3, 21)","(5, 21)",5478,3,27,2724,2724
3,0.6,"(3, 21)","(5, 21)",5466,3,27,2718,2718
3,0.7,"(3, 21)","(5, 21)",5466,3,27,2718,2718
3,0.8,"(3, 21)","(5, 21)",5466,3,27,2718,2718
3,0.9,"(3, 21)","(5, 21)",5466,3,27,2718,2718
3,1.0,"(3, 21)","(5, 21)",24170,3,27,12070,12070
4,0.02,"(3, 15)","(5, 17)",461,2,21,219,219
4,0.04,"(3, 15)","(5, 17)",1717,2,21,847,847
4,0.06,"(3, 15)","(5, 17)",7073,2,21,3525,3525
4,0.08,"(3, 15)","(5, 17)",7857,2,21,3917,3917
4,0.1,"(3, 15)","(5, 17)",41,2,21,9,9
4,0.12,"(3, 15)","(5, 17)",41,2,21,9,9
4,0.14,"(3, 15)","(5, 17)",41,2,21,9,9
4,0.16,"(3, 15)","(5, 17)",41,2,21,9,9
4,0.18,"(3, 15)","(5, 17)",41,2,21,9,9
4,0.2,"(3, 15)","(5, 17)",41,2,21,9,9
4,0.3,"(3, 15)","(5, 17)",41,2,21,9,9
4,0.4,"(3, 15)","(5, 17)",41,2,21,9,9
4,0.5,"(3, 15)","(5, 17)",41,2,21,9,9
4,0.6,"(3, 15)","(5, 17)",41,2,21,9,9
4,0.7,"(3, 15)","(5, 17)",41,2,21,9,9
4,0.8,"(3, 15)","(5, 17)",41,2,21,9,9
4,0.9,"(3, 15)","(5, 17)",41,2,21,9,9
4,1.0,"(3, 15)","(5, 17)",49,2,21,13,13
5,0.02,"(3, 20)","(5, 14)",262,1,21,120,120
5,0.04,"(3, 20)","(5, 14)",222,1,21,100,100
5,0.06,"(3, 20)","(5, 14)",202,1,21,90,90
5,0.08,"(3, 20)","(5, 14)",206,1,21,92,92
5,0.1,"(3, 20)","(5, 14)",118,1,21,48,48
5,0.12,"(3, 20)","(5, 14)",138,1,21,58,58
5,0.14,"(3, 20)","(5, 14)",58,1,21,18,18
5,0.16,"(3, 20)","(5, 14)",338,1,21,158,158
5,0.18,"(3, 20)","(5, 14)",338,1,21,158,158
5,0.2,"(3, 20)","(5, 14)",14210,1,21,7094,7094
5,0.3,"(3, 20)","(5, 14)",82,1,21,30,30
5,0.4,"(3, 20)","(5, 14)",14254,1,21,7116,7116
5,0.5,"(3, 20)","(5, 14)",14254,1,21,7116,7116
5,0.6,"(3, 20)","(5, 14)",14254,1,21,7116,7116
5,0.7,"(3, 20)","(5, 14)",14254,1,21,7116,7116
5,0.8,"(3, 20)","(5, 14)",14246,1,21,7112,7112
5,0.9,"(3, 20)","(5, 14)",14246,1,21,7112,7112
