Ship,Alpha,Initial_Bot_Position,Rat_Position,Baseline_Total,Baseline_Attempt_Count,Baseline_Blocked_Sensing,Baseline_Rat_Chase_Count,Baseline_Ping_Count,Rat_Not_Caught
0,0.02,"(8, 18)","(14, 22)",364,0,4,178,178,False
0,0.04,"(8, 18)","(14, 22)",188,0,4,90,90,False
0,0.06,"(8, 18)","(14, 22)",360,0,4,176,176,False
0,0.08,"(8, 18)","(14, 22)",304,0,4,148,148,False
0,0.1,"(8, 18)","(14, 22)",352,0,4,172,172,False
0,0.12,"(8, 18)","(14, 22)",432,0,4,212,212,False
0,0.14,"(8, 18)","(14, 22)",756,0,4,374,374,False
0,0.16,"(8, 18)","(14, 22)",160,0,4,76,76,False
0,0.18,"(8, 18)","(14, 22)",396,0,4,194,194,False
0,0.2,"(8, 18)","(14, 22)",80,0,4,36,36,False
0,0.3,"(8, 18)","(14, 22)",72,0,4,32,32,False
0,0.4,"(8, 18)","(14, 22)",200,0,4,96,96,False
0,0.5,"(8, 18)","(14, 22)",356,0,4,174,174,False
0,0.6,"(8, 18)","(14, 22)",128,0,4,60,60,False
0,0.7,"(8, 18)","(14, 22)",640,0,4,316,316,False
0,0.8,"(8, 18)","(14, 22)",708,0,4,350,350,False
0,0.9,"(8, 18)","(14, 22)",640,0,4,316,316,False
0,1.0,"(8, 18)","(14, 22)",516,0,4,254,254,False
1,0.02,"(9, 3)","(14, 15)",190,2,6,89,89,False
1,0.04,"(9, 3)","(14, 15)",346,2,6,167,167,False
1,0.06,"(9, 3)","(14, 15)",306,2,6,147,147,False
1,0.08,"(9, 3)","(14, 15)",570,2,6,279,279,False
1,0.1,"(9, 3)","(14, 15)",470,2,6,229,229,False
1,0.12,"(9, 3)","(14, 15)",522,2,6,255,255,False
1,0.14,"(9, 3)","(14, 15)",646,2,6,317,317,False
1,0.16,"(9, 3)","(14, 15)",530,2,6,259,259,False
1,0.18,"(9, 3)","(14, 15)",1298,2,6,643,643,False
1,0.2,"(9, 3)","(14, 15)",238,2,6,113,113,False
1,0.3,"(9, 3)","(14, 15)",482,2,6,235,235,False
1,0.4,"(9, 3)","(14, 15)",494,2,6,241,241,False
1,0.5,"(9, 3)","(14, 15)",354,2,6,171,171,False
1,0.6,"(9, 3)","(14, 15)",214,2,6,101,101,False
1,0.7,"(9, 3)","(14, 15)",450,2,6,219,219,False
1,0.8,"(9, 3)","(14, 15)",470,2,6,229,229,False
1,0.9,"(9, 3)","(14, 15)",334,2,6,161,161,False
1,1.0,"(9, 3)","(14, 15)",570,2,6,279,279,False
2,0.02,"(9, 1)","(14, 22)",142,3,9,62,62,False
2,0.04,"(9, 1)","(14, 22)",142,3,9,62,62,False
2,0.06,"(9, 1)","(14, 22)",162,3,9,72,72,False
2,0.08,"(9, 1)","(14, 22)",150,3,9,66,66,False
2,0.1,"(9, 1)","(14, 22)",142,3,9,62,62,False
2,0.12,"(9, 1)","(14, 22)",150,3,9,66,66,False
2,0.14,"(9, 1)","(14, 22)",150,3,9,66,66,False
2,0.16,"(9, 1)","(14, 22)",722,3,9,352,352,False
2,0.18,"(9, 1)","(14, 22)",150,3,9,66,66,False
2,0.2,"(9, 1)","(14, 22)",150,3,9,66,66,False
2,0.3,"(9, 1)","(14, 22)",142,3,9,62,62,False
2,0.4,"(9, 1)","(14, 22)",142,3,9,62,62,False
2,0.5,"(9, 1)","(14, 22)",142,3,9,62,62,False
2,0.6,"(9, 1)","(14, 22)",142,3,9,62,62,False
2,0.7,"(9, 1)","(14, 22)",142,3,9,62,62,False
2,0.8,"(9, 1)","(14, 22)",162,3,9,72,72,False
2,0.9,"(9, 1)","(14, 22)",426,3,9,204,204,False
2,1.0,"(9, 1)","(14, 22)",462,3,9,222,222,False
3,0.02,"(8, 25)","(14, 25)",724,4,19,343,343,False
3,0.04,"(8, 25)","(14, 25)",620,4,19,291,291,False
